world_cup,release_date,usage,rank,points,team,team_key,source_url
2018,2018-06-07,pre_tournament,1,1558.0,Germany,germany,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,2,1431.0,Brazil,brazil,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,3,1298.0,Belgium,belgium,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,4,1274.0,Portugal,portugal,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,5,1241.0,Argentina,argentina,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,6,1199.0,Switzerland,switzerland,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,7,1198.0,France,france,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,8,1183.0,Poland,poland,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,9,1135.0,Chile,chile,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,10,1126.0,Spain,spain,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,11,1125.0,Peru,peru,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,12,1051.0,England,england,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,12,1051.0,Denmark,denmark,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,14,1018.0,Uruguay,uruguay,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,15,989.0,Mexico,mexico,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,16,986.0,Colombia,colombia,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,17,981.0,Netherlands,netherlands,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,18,953.0,Wales,wales,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,19,951.0,Italy,italy,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,20,945.0,Croatia,croatia,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,21,910.0,Tunisia,tunisia,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,22,908.0,Iceland,iceland,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,23,884.0,Costa Rica,costa rica,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,24,880.0,Sweden,sweden,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,25,873.0,USA,usa,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,26,845.0,Austria,austria,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,27,838.0,Senegal,senegal,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,28,804.0,Slovakia,slovakia,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,29,803.0,Northern Ireland,northern ireland,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,30,782.0,Romania,romania,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,31,777.0,Republic of Ireland,republic of ireland,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,32,773.0,Paraguay,paraguay,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,33,755.0,Venezuela,venezuela,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,34,751.0,Serbia,serbia,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,35,733.0,Ukraine,ukraine,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,36,718.0,Australia,australia,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,37,708.0,IR Iran,ir iran,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,38,706.0,Congo DR,congo dr,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,38,706.0,Turkey,turkiye,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,40,693.0,Bosnia and Herzegovina,bosnia and herzegovina,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,41,686.0,Morocco,morocco,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,42,660.0,Scotland,scotland,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,43,652.0,Montenegro,montenegro,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,44,650.0,Greece,greece,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,45,649.0,Egypt,egypt,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,46,641.0,Czech Republic,czechia,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,47,624.0,Ghana,ghana,https://en.fifaranking.net/ranking/?d=2018-06-07
2018,2018-06-07,pre_tournament,48,618.0,Nigeria,nigeria,https://en.fifaranking.net/ranking/?d=2018-06-07
